Autor,Citas,Fecha,Link,Titulo
"TEB Maguire , 2021 , ri.unsam.edu.ar",2,2021,https://ri.unsam.edu.ar/bitstream/123456789/1598/1/TLIC_IDAES_2021_MTEB.pdf,Aprendizaje automático y modelización de tópicos: un estudio de caso sobre la agenda mediática en contexto de las elecciones Argentina 2015
"MI Wences Simón , 2021 , e,archivo.uc3m.es",0,2021,https://e-archivo.uc3m.es/bitstream/handle/10016/37638/interculturalidad_wences_MRCS_2021.pdf?sequence=3,Interculturalidad crítica y decolonialidad epistémica. Apuntes desde el pensamiento crítico latinoamericano para un diálogo simétrico
"CE Maldonado, , Cinta de moebio, 2019 , SciELO Chile",11,2019,https://www.scielo.cl/scielo.php?pid=S0717-554X2019000100114&script=sci_arttext,Tres razones de la metamorfosis de las ciencias sociales en el siglo XXI
"FA Manzano , researchgate.net",0,Null,https://www.researchgate.net/profile/Fernando-Ariel-Manzano/publication/354871296_La_calidad_de_los_datos_estadisticos_en_la_Era_del_Big_Data/links/615204e6154b3227a8b3d0bb/La-calidad-de-los-datos-estadisticos-en-la-Era-del-Big-Data.pdf,La calidad de los datos estadísticos en la Era del Big Data.
"CE Maldonado, , Revista Latinoamericana de Ensayo, 2014 , academia.edu",3,2014,https://www.academia.edu/download/34911577/COMO_PUEDE_SER_LA_BIOLOGIA_LA_NUEVA_BASE_DE_LA_CIENCIA.pdf,Cómo puede ser la biología la nueva base de la ciencia
"A Covello, I Novidelsky, VA Saroff , argentina.gob.ar",0,Null,https://www.argentina.gob.ar/sites/default/files/2023/03/informe_final_uba.pdf,FACULTAD DE CIENCIAS SOCIALES-UNIVERSIDAD DE BUENOS AIRES ARGENTINA FUTURA-JEFATURA DE GABINETE DE MINISTROS
"J Pérez Sánchez, M Castro Ponce, G López López , 2023 , repositorio.comillas.edu",0,2023,https://repositorio.comillas.edu/xmlui/bitstream/handle/11531/86681/Serious_Games_and_AI_Challenges_and_Opportunities_for_Computational_Social_Science.pdf?sequence=-1,Serious Games and AI: Challenges and Opportunities for Computational Social Science
"V Benítez Pérez , 2022 , ri.uaemex.mx",0,2022,http://ri.uaemex.mx/bitstream/handle/20.500.11799/137995/1.%20TESIS_FINAL_VBPNOV22%20(1).pdf?sequence=1,Habilidades de comunicación académica en docentes con actividad de investigación en Ciencias Sociales
"JP Sokil,, D Taraborrelli , networks , … .sociales.uba.ar",0,Null,http://jornadasdesociologia2021.sociales.uba.ar/wp-content/uploads/ponencias2021/1358_360.pdf,Identificación automática de comunidades y su aplicación en eventos políticos en
"I Uman , Avatares de la Comunicación y la Cultura, 2018 , publicaciones.sociales.uba.ar",2,2018,https://publicaciones.sociales.uba.ar/index.php/avatares/article/download/4890/4023,Big Data y Memoria Digital: claves para su exploración e investigación desde las ciencias sociales
