Autor,Citas,Fecha,Link,Titulo
FFM González,13,2020,https://revistas.investigacion-upelipb.com/index.php/educare/article/download/1326/1296,Mediación tecnológica orientada al desarrollo de habilidades cognitivas: Aportes para la sociedad del conocimiento
AJ Ruano Jiménez,12,2019,http://www.scielo.org.co/scielo.php?pid=S1657-63572019000100123&script=sci_arttext,"Sociedad en movimiento, tejiendo paz territorial en Nariño"
R Llopis,40,2004,https://revistas.unav.edu/index.php/communication-and-society/article/download/36332/30929/,La mediación familiar del consumo infantil de televisión. Un análisis referido a la sociedad española
"O Morales,F Castellanos,C ,Paz,",10,2013,https://dialnet.unirioja.es/descarga/articulo/5154936.pdf,La mediación en la resolución de conflictos: Su interpretación desde la comunidad educativa.
L Gallucci,34,2006,http://www.scielo.org.ar/scielo.php?pid=S1851-95042006000100024&script=sci_arttext,"La paz del trigo: Cultura legal y sociedad local en el desarrollo agropecuario pampeano, 1890-1945"
"SM Omar,LEJ Aali,EH Hamdi,JM Murph ",23,2008,https://biblioteca.hegoa.ehu.eus/downloads/18960/%2Fsystem%2Fpdf%2F2891%2FPapel_de_la_sociedad_en_la_paz_del_Sahara_Occidental.pdf,El papel de la sociedad civil en la construcción de la paz en el Sáhara Occidental
"AR Bustamante,GML Arboleda,JCE Álvarez,",56,2018,https://www.redalyc.org/journal/4989/498964765010/498964765010.pdf,El aula de paz: familia y escuela en la construcción de una cultura de paz en Colombia
"M Barreto Henriques,",24,2015,http://www.scielo.org.co/scielo.php?pid=S0122-44092015000200007&script=sci_arttext,"El Programa de desarrollo y paz del Magdalena Medio,¿ un modelo de construcción de paz para el post conflicto en Colombia?"
"FJ Pozo Serrano,",77,2016,https://redined.educacion.gob.es/xmlui/bitstream/handle/11162/175744/v.70%20p%2077-90.pdf?sequence=1,Pedagogía social escolar en Colombia: el modelo de la Universidad del Norte en formación directiva y docente para la ciudadanía y la paz
A Cabedo,17,2008,https://repositori.uji.es/xmlui/bitstream/handle/10234/78092/forum_2008_38.pdf?seq,La educación musical como modelo para una cultura de paz
LF Bohórquez,51,2005,https://revistas.ufps.edu.co/index.php/respuestas/article/download/676/662,Diseño de un modelo pedagógico para la enseñanza de fundamentos de programación de computadores basado en el uso de la tecnología como mediación …
ARB Brenes,140,2014,https://www.redalyc.org/pdf/447/44729876008.pdf,Convivencia en el contexto familiar: un aprendizaje para construir cultura de paz
A Adúriz,35,2005,https://ddd.uab.cat/pub/edlc/edlc_a2005nEXTRA/edlc_a2005nEXTRAp486medana.pdf,La mediación analógica en la ciencia escolar: propuesta de la función modelo teórico
MI González Cano ,28,2016,,La mediación penal: hacia un modelo ADR integrado en el sistema procesal penal
"AMG Segura,",16,2018,https://revistaseug.ugr.es/index.php/revpaz/article/download/7629/7331/,Representaciones sociales del conflicto armado y de la paz de la Comunidad Sikuani de Puerto Gaitán
SG Higuera,49,2011,https://revistas.usantotomas.edu.co/index.php/hallazgos/article/download/1704/1853,La resistencia social: una resistencia para la paz
S Jaramillo,258,2014,http://www.redcaquetapaz.org/wp-content/uploads/2014/04/LA-PAZ-TERRITORIAL.pdf,La paz territorial
V Fisas,70,2010,https://ddd.uab.cat/pub/quaconpau/quaconpau_a2010m4n14iSPA.pdf,Procesos de paz comparados
"P Naucke,E Halbmayer",17,2016,https://www.redalyc.org/pdf/838/83845725001.pdf,Resistencia Legítima frente al conflicto colombiano. Una reflexión teórica a partir de una Comunidad de Paz
"M Barreto Henriques,",30,2014,https://expeditiorepositorio.utadeo.edu.co/bitstream/handle/20.500.12010/9327/5220.pdf,Los procesos de paz en Colombia y el rol de la comunidad internacional:¿ crónica de un nacimiento anunciado?
"NY Vera Angarita,",9,2019,http://ri.ibero.mx:8080/bitstream/handle/ibero/4982/RLEE_49_01_293.pdf?sequence=1&isAllowed=y,Escuela rural y territorio: una construcción para la paz
M Romero ,23,2000,https://repositorio.pucp.edu.pe/index/bitstream/handle/123456789/191413/11.pdf?sequence=1,"Paz, reformas y cambio en la sociedad civil colombiana"
R Menéndez,10,2017,https://www.revistaorbisasodiplo.org/index.php/orbis/article/download/60/48,La participación de la sociedad civil en la construcción de la paz
"N Vargas Muñoz,C Orozco Castro",12,2020,https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-47032020000300001,Mediación pedagógica y evaluación: Una mirada desde un modelo de marco abierto en educación inicial
"CC Tovar Guerra,S Sacipa",38,2011,http://www.scielo.org.co/scielo.php?pid=S1657-92672011000100004&script=sci_arttext,"Significados e interacciones de paz de jóvenes integrantes del grupo"" Juventud Activa"" de Soacha, Colombia"
"LÁ Álvarez,AM Padilla,",34,2016,http://revista.redipe.org/index.php/1/article/download/147/145,Cátedra de la paz en Colombia: una mirada que supera la tiza y el tablero
RM Tesmer,17,2009,https://www.redalyc.org/pdf/459/45921647004.pdf,Ailla & Rewe. La mediación ritual de la sociedad mapuche williche
"I Hernández Arteaga,JA Luna Hernández",93,2017,http://www.scielo.org.co/scielo.php?pid=S0122-72382017000100009&script=sci_arttext,Cultura de paz: una construcción desde la educación
HJ Schneider,11,1993,,"Recompensacion en Lugar de Sancion; Restablecimiento de la Paz entre el Autor, la Victima y la Sociedad"
"F Gorjón,J Pesqueira ",41,2016,https://digitum.um.es/digitum/bitstream/10201/52094/2/259711-952091-2-PB.pdf,La ciencia de la mediación.
MEQ Londoño,11,1998,https://journals.openedition.org/revestudsoc/30982,Las negociaciones de paz y el papel de la sociedad civil
C Rodrigues,17,2017,http://www.scielo.edu.uy/scielo.php?pid=S2393-61932017000100243&script=sci_arttext,La Mediación.¿ Una respuesta al nuevo paradigma del Derecho?
D Barthélemy ,26,2006,,El año mil y la paz de Dios: la iglesia y la sociedad feudal
"S Pérez Tort,",2,2012,https://repository.upb.edu.co/bitstream/handle/20.500.11912/7326/Arte%20medial%20complejidad%2C%20mediaci%C3%B3n%20y%20sociedad.pdf?sequence=1&isAllowed=y,"Arte medial: complejidad, mediación y sociedad"
"A Rofman,AL Suárez,C Palma Arce,D Soldano ",30,2010,http://repositorio.ungs.edu.ar:8080/xmlui/bitstream/handle/UNGS/125/319_Sociedad%20y%20territorio.pdf?sequence=1,"Sociedad y territorio en el conurbano bonaerense: un estudio de las condiciones socioeconómicas y sociopolíticas de cuatro partidos: San Miguel, José C. Paz …"
"SO Gaite,M Shen,MJP Montolio,",11,2019,https://dialnet.unirioja.es/descarga/articulo/7039525.pdf,Mediación intercultural: clave en la formación inicial y desarrollo docente para educar en la sociedad diversa
"R Matos,Y Pineda,A Vásquez",19,2010,http://ve.scielo.org/scielo.php?pid=S1010-29142010000100010&script=sci_arttext,El Aprendizaje del Arte: Un modelo de mediación basado en la interacción sociocultural
"F Negret Fernández,CA Torres",8,2015,http://www.scielo.org.co/scielo.php?pid=S0124-79132015000100018&script=sci_arttext,Prioridades socioambientales para un territorio en paz
"A Serbin,",29,2007,https://books.google.com/books?hl=es&lr=&id=zXfWVHJsfQYC&oi=fnd&pg=PA3&dq=((%22Pacifismo%22+OR+%22Noviolencia%22+OR+%22paz%22+OR+%22paz+positiva%22+OR+%22Coexistencia+pac%C3%ADfica%22+OR+%22soluci%C3%B3n+de+conflictos%22+OR+%22mediaci%C3%B3n%22+OR+%22Consolidaci%C3%B3n+de+la+paz%22+OR+%22Mantenimiento+de+la+paz%22+OR+%22Restablecimiento+de+la+paz%22)+AND+(%22Territorio%22+OR+%22movimiento+social%22+OR+%22sociedad%22+OR+%22comunidad%22+OR+%22grupo%22))+OR+(((%22Modelo+educativo%22+OR+%22modelo+educacional%22+OR+%22investigaci%C3%B3n+pedag%C3%B3gica%22+OR+%22sistema+educativo%22+OR+%22pr%C3%A1ctica+pedag%C3%B3gica%22+OR+%22experiencia+pedag%C3%B3gica%22)+AND+(%22educaci%C3%B3n+para+la+paz%22+OR+%22Cultura+de+paz%22+OR+%22educaci%C3%B3n+ciudadana%22+OR+%22educaci%C3%B3n+moral%22+OR+%22educaci%C3%B3n+para+los+derechos+humanos%22)))&ots=yHBmkNsy4d&sig=iX4-nkzZnB1Yzplnkr0jN3NT88Q,"Paz, conflicto y sociedad civil en América Latina y el Caribe"
YMR Mueses,11,2020,https://publicaciones.eafit.edu.co/index.php/ricercare/article/download/6421/4886,Incidencia de la música en la transformación social y la construcción de paz en el territorio rural de Catambuco (Nariño-Colombia)
"DGM Aguirre,MEA Burneo,",13,2019,https://www.revistadeculturadepaz.com/index.php/culturapaz/article/download/59/51,Desarrollo de un modelo de promoción de ciudadanía y convivencia para una cultura de paz
"MB Henriques,",32,2009,https://www.academia.edu/download/47511558/Libro_CERAC_.pdf#page=503,"El laboratorio de paz del Magdalena Medio:¿ un verdadero"" laboratorio de paz"
SG Soler,14,2017,,Mediación insight: un modelo reflexivo y pedagógico para abordar los conflictos
"AC Alcaraz,SF Ricoy,LM Taibo",9,2019,https://revistes.upc.edu/index.php/JIDA/article/view/8302/1017,Mediación entre diseño y sociedad: aprendizaje y servicio en Producto Fresco 2019
SM Liras,3,2017,,Por qué un cuarto modelo de mediación: oportunidades e integración del modelo de mediación insight
"IZ Landaluze,",12,2017,https://dialnet.unirioja.es/descarga/articulo/6162150.pdf,Críticas al modelo de construcción de «paz liberal» en contextos posconflicto en el África Subsahariana
"Y de ,Paz ,Trueba",25,2008,http://www.scielo.org.co/scielo.php?pid=S0121-16172008000200007&script=sci_arttext,La justicia en una sociedad de frontera: confictos familiares ante los Juzgados de Paz. El centro sur bonaerense a fines del siglo XIX y principios del XX
"F Gutiérrez Sanín,",11,2018,,"¿ Qué hacer con el tierrero?: Tierra, territorio y paz sostenible"
"LDS ,Paz,",99,2009,https://www.cucs.udg.mx/revistas/edu_desarrollo/anteriores/10/010_Paz.pdf?iframe=tr,Funcionamiento familiar de alumnos con bajo rendimiento escolar y su comparación con un grupo de rendimiento promedio en una preparatoria de la …
"H Borja,I Barreto,M Alzate,JM Sabucedo,WL López,",72,2009,https://www.redalyc.org/pdf/727/72711895020.pdf,"Creencias sobre el adversario, violencia política y procesos de paz"
"EG Pulido Guerrero,L Cudris Torres,",12,2020,https://redined.educacion.gob.es/xmlui/bitstream/handle/11162/205108/Mediacion.pdf?sequence=1,Mediación de conflictos y violencia escolar: Resultados de intervención a través de un estudio cuasi-experimental
"J Álvarez,H Smeltekop,N Cuba",42,2011,http://www.scielo.org.bo/pdf/jsars/v2n1/a05.pdf,… de aguas residuales del prebeneficiado de café (Coffea arabica) implementado en la comunidad Carmen Pampa provincia Nor Yungas del Departamento de La Paz
"P González,F Hernández,",25,2020,https://cienciasdeladocumentacion.cl/pdf02/2%20V7N1%202021%20CSDOCum.pdf,Mecanismos alternativos en la solución de conflictos para la construcción de una cultura de paz
"J Montero Díaz,MA ,Paz ,Rebollo,",61,2013,https://journals.openedition.org/histcrit/11719,Historia audiovisual para una sociedad audiovisual
"JV Parra,ÁMD Pérez,",69,2018,https://dialnet.unirioja.es/descarga/articulo/6389579.pdf,Enfoque de Género en el acuerdo de paz entre el Gobierno Colombiano y las FARC-EP: transiciones necesarias para su implementación
LP Villafañe,10,2014,https://www.revistas.una.ac.cr/index.php/derechoshumanos/article/download/6127/6124,Sociedad civil y educación: reflexiones desde una perspectiva de paz
",C McCulligh,J Morales",77,2012,https://rei.iteso.mx/bitstream/handle/11117/425/Conflictos%5B1%5D.pdf?sequence=2&isAl,Conflictos socioambientales y alternativas de la sociedad civil
"M Yangilevich,",15,2017,http://www.scielo.org.ar/pdf/prohist/v28/v28a04.pdf,Justicia de paz y organización del territorio en la campaña sur de Buenos Aires durante la primera mitad del siglo XIX: Un diálogo con Juan Carlos Garavaglia
RA Vega Luquez ,8,2019,,El capítulo étnico del Acuerdo de Paz de La Habana: La historia del tercer actor de la negociación
"LL Romero,M Alamilla,J García,",11,2017,https://www.academia.edu/download/53964489/H0607023742.pdf,Mediación escolar en el modelo educativo para la educación obligatoria en México
XR Jares ,138,2004,https://redined.educacion.gob.es/xmlui/bitstream/handle/11162/155123/600001c_Pub_Jares_educar_paz.pdf?sequence=1,Educar para la paz en tiempos difíciles
G Scarabino ,6,1987,https://repositorio.uca.edu.ar/bitstream/123456789/1009/1/juan-carlos-paz-grupo.pdf,Juan Carlos Paz y el “Grupo Renovación”
JMM Lopera,15,2008,https://www.redalyc.org/pdf/557/55711908007.pdf,La paz bajo la sombra indeleble de la guerra: una experiencia de construcción de ciudadanía en la comunidad de paz de San José de Apartadó (Antioquia …
VM Bouvier ,42,2011,,Colombia La construcción de la paz en tiempos de guerra
JR Morones,8,2012,https://www.redalyc.org/pdf/461/46123843009.pdf,Educar para la Paz desde una sociedad sin Paz. Condiciones para construirla
AG Correa,70,1998,https://dialnet.unirioja.es/descarga/articulo/2777127.pdf,Un aula pacífica para una cultura de paz
"G Trovato,",11,2020,http://www.tonosdigital.es/ojs/index.php/tonos/article/download/2577/1179,Una aproximación a un modelo de evaluación para la mediación lingüística en la enseñanza del español como lengua extranjera (ELE)
M Romero ,16,2000,https://repositorio.pucp.edu.pe/index/bitstream/handle/123456789/191412/12.pdf?sequence=1,"Sociedad civil, cooperación y movilización por la paz en Colombia"
AC Forero Sanabria ,13,2018,,Análisis de la reincorporación económica y social de excombatientes de las FARC a la sociedad civil y su relación con el proceso de construcción de paz
"A Pardo,M Román",10,2013,https://revistas.um.es/analesps/article/download/analesps.29.2.139241/147701,Reflexiones sobre el modelo de mediación estadística de Baron y Kenny.
LÁ Suárez,11,2019,https://www.redalyc.org/pdf/6739/673971415016.pdf,La mediación penal y su prohibición en supuestos de violencia de género: modelo español
"AA Suárez,AB Pimiento",59,2018,https://dialnet.unirioja.es/descarga/articulo/6837412.pdf,La educación en cultura de paz. Herramienta de construcción de paz en el postconflicto
S Aragón Albillos ,19,2005,,"El zoológico del Museo de Ciencas Naturales de Madrid: Mariano de la Paz Graells (1809-1898), la sociedad de aclimatación y los animales útiles"
J García,7,2010,,Por un movimiento social internacional: el programa de cultura de paz
AP Cáceres,10,2011,https://derechoycienciapolitica.uct.cl/index.php/RDCP/article/download/246/116,Calidad de la mediación familiar licitada: superando el modelo express.
"J Riechmann,",10,2010,https://dialnet.unirioja.es/descarga/articulo/3400032.pdf,El trabajo como dimensión antropológica (y como mediación entre la naturaleza y sociedad)
MAA Fernández,18,1986,https://dialnet.unirioja.es/descarga/articulo/249078.pdf,Una aplicación del modelo dialéctico: el proceso de mediación estructural en la prensa escrita
SY Rodríguez Mendieta ,13,2018,https://repositorio.uptc.edu.co/bitstream/handle/001/3138/TGT_1686_Tics_como_mediacion.pdf?sequence=1&isAllowed=y,Las TIC como mediación didáctica en procesos de enseñanza en el modelo de Escuela Nueva
"WR Avendaño Castro,LS ,Paz ,Montes,",59,2016,http://www.scielo.org.co/scielo.php?pid=S1657-80312016000200007&script=sci_arttext,Construcción de ciudadanía: un modelo para su desarrollo en la escuela
"F Conforti,",21,2016,https://www.academia.edu/download/59902968/Tutela_judicial_efectiva_y_mediacion_de_conflictos_en_espana20190630-46730-7gznrw.pdf,Tutela judicial efectiva y mediación de conflictos en España
"MP Bermúdez,GL Ramos,DAG González",5,2019,https://conrado.ucf.edu.cu/index.php/conrado/article/download/925/951,"La comunidad, una ventana en la educación para la paz"
S Méndez,46,2007,https://dialnet.unirioja.es/descarga/articulo/3662397.pdf,La estrategia de entrada en la mediación pedagógica
SJ Caro,16,2016,,La paz territorial
"ER Pinzón,",13,2016,https://media.realinstitutoelcano.org/wp-content/uploads/2016/01/ari12-2016-rodriguezpinzon-papel-comunidad-internacional-acuerdos-paz-colombia.pdf,El papel de la comunidad internacional tras la firma de los acuerdos de paz en Colombia
"E Díaz Vera,B Bermúdez Monteagudo,MA Isla Guerra",11,2018,http://scielo.sld.cu/scielo.php?pid=S1990-86442018000300164&script=sci_arttext,La articulación escuela familia comunidad: escenarios estratégicos para la Educación para la Paz
CI García de la Torre ,56,2007,https://bibliotecadigital.udea.edu.co/bitstream/10495/17742/1/GarciaClara_2008_ConflictoDiscursoReconfiguracion.pdf,"Conflicto, discursos y reconfiguración regional. El oriente antioqueño: de la Violencia de los cincuenta al Laboratorio de Paz"
"C Rodríguez,",15,2001,https://journals.openedition.org/revestudsoc/28842,Sociedad civil y medios ciudadanos: arquitectos de paz para el nuevo milenio
"RP Valero,T Fajardo,L Pleguezuelos",16,2010,http://www.ammediadores.es/nueva/wp-content/uploads/2014/12/Revista-6.pdf#page=32,"La mediación escolar en la Comunidad de Madrid: análisis del impacto de la formación en el profesorado y alumnado en el IES"" Las Américas"" de Parla"
"JM ,Paz ,Gago,",17,2016,https://www.designisfels.net/wp-content/uploads/2021/05/i32p195-197-El-octavo-arte-la-moda-en-la-sociedad-contemporanea.pdf,El octavo arte: la moda en la sociedad contemporánea
L Parkinson,336,2005,https://biblioteca.csjn.gov.ar/Indices/Biblio/2/CSJN153834.pdf,Mediación familiar
JE Urbina,38,2011,http://www.scielo.org.co/scielo.php?pid=S1692-715X2011000100018&script=sci_arttext,Ideas de paz en jóvenes desplazados de la ciudad de Cúcuta
